,Players,Values,links
151,Borja Iglesias,£25.20m,https://www.transfermarkt.com/borja-iglesias/profil/spieler/278359
152,Álvaro Negredo,£25.20m,https://www.transfermarkt.com/alvaro-negredo/profil/spieler/18644
153,Diego Milito,£25.20m,https://www.transfermarkt.com/diego-milito/profil/spieler/22202
154,Kelechi Iheanacho,£24.93m,https://www.transfermarkt.com/kelechi-iheanacho/profil/spieler/295330
155,Moise Kean,£24.75m,https://www.transfermarkt.com/moise-kean/profil/spieler/364135
156,Pedro,£24.30m,https://www.transfermarkt.com/pedro/profil/spieler/65278
157,Samuel Eto'o,£24.30m,https://www.transfermarkt.com/samuel-etoo/profil/spieler/4257
158,Klaas-Jan Huntelaar,£24.30m,https://www.transfermarkt.com/klaas-jan-huntelaar/profil/spieler/4357
159,Samuel Eto'o,£24.30m,https://www.transfermarkt.com/samuel-etoo/profil/spieler/4257
160,Breel Embolo,£23.85m,https://www.transfermarkt.com/breel-embolo/profil/spieler/237662
161,Luis Suárez,£23.85m,https://www.transfermarkt.com/luis-suarez/profil/spieler/44352
162,Stevan Jovetic,£23.40m,https://www.transfermarkt.com/stevan-jovetic/profil/spieler/46104
163,Alexis Sánchez,£23.40m,https://www.transfermarkt.com/alexis-sanchez/profil/spieler/40433
164,Hernán Crespo,£23.40m,https://www.transfermarkt.com/hernan-crespo/profil/spieler/3410
165,Vincenzo Montella,£23.24m,https://www.transfermarkt.com/vincenzo-montella/profil/spieler/5960
166,Thorgan Hazard,£22.95m,https://www.transfermarkt.com/thorgan-hazard/profil/spieler/102226
167,Nani,£22.95m,https://www.transfermarkt.com/nani/profil/spieler/33706
